Id,Id Empresa,Nome Empresa,URL Empresa,Nome da Vaga,Tipo,Publicado,Dead Line,Remoto?,Cidade,Estado,Regime,URL Vaga,Nova Adição
8825694,292,Grupo Trigo,Not,Estágio em Eficiência Operacional,internship,18/03/2025,18/04/2025,False,Rio de Janeiro,Rio de Janeiro,hybrid,https://grupotrigo.gupy.io/job/eyJqb2JJZCI6ODgyNTY5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8819517,46700,LWSA,Not,Bling | Pessoa Desenvolvedora Sênior (PHP ou Golang) | Remoto,effective,18/03/2025,30/06/2025,True,,,remote,https://lwsa.gupy.io/job/eyJqb2JJZCI6ODgxOTUxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8812738,417,Compass UOL,Not,PHP Tech Lead | Specialist,effective,18/03/2025,13/05/2025,True,,,remote,https://compass.gupy.io/job/eyJqb2JJZCI6ODgxMjczOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8810118,46700,LWSA,Not,Tray | Pessoa Programadora PHP Pleno | Marketplaces | Remoto,effective,18/03/2025,18/04/2025,True,,,remote,https://lwsa.gupy.io/job/eyJqb2JJZCI6ODgxMDExOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8823545,562,Deliver IT,Not,Desenvolvedor(a) PHP Sênior,effective,18/03/2025,17/06/2025,True,,,remote,https://deliverit.gupy.io/job/eyJqb2JJZCI6ODgyMzU0NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8827510,1949,Fluency Academy,Not,Data | Analista de Dados Sênior,vacancy_legal_entity,18/03/2025,10/07/2025,True,,,remote,https://fluencyacademy.gupy.io/job/eyJqb2JJZCI6ODgyNzUxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8829814,1273,"Every Cybersecurity, GRC and Privacy Solutions",Not,Analista de Privacidade de Dados Junior - Presencial Rio de Janeiro,effective,18/03/2025,17/05/2025,False,Rio de Janeiro,Rio de Janeiro,on-site,https://sejaevery.gupy.io/job/eyJqb2JJZCI6ODgyOTgxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8826740,400,Edge.UOL,Not,Analista de Segurança da Informação Jr.,effective,18/03/2025,31/12/2025,True,Sao Paulo,São Paulo,remote,https://edgeuol.gupy.io/job/eyJqb2JJZCI6ODgyNjc0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8829674,1273,"Every Cybersecurity, GRC and Privacy Solutions",Not,Analista de Segurança da Informação - Presencial Rio de Janeiro,effective,18/03/2025,17/05/2025,False,Rio de Janeiro,Rio de Janeiro,on-site,https://sejaevery.gupy.io/job/eyJqb2JJZCI6ODgyOTY3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
8735010,54190,Frete Rápido,Not,Desenvolvedor Backend (Golang) PL,effective,17/03/2025,29/04/2025,True,,,remote,https://freterapido.gupy.io/job/eyJqb2JJZCI6ODczNTAxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Não
